symbol,city,administrative,population,foundation,area_km2
Korsun-Shevchenkivskyi COA.png,Корсунь-Шевченківський,Черкаська область,19 311,1032,118.65
Kuryukivka gerb.png,Корюківка,Чернігівська область,14 318,1657,22.00
Kosów COA.png,Косів,Івано-Франківська область,8 301,1424,11.38
Kostopil coat of arms.png,Костопіль,Рівненська область,30 467,XVIII ст.,63.73
Costyantynivka gerb.png,Костянтинівка,Донецька область,95 111,1870,66.04
Kramatorsk gerb.png,Краматорськ,Донецька область,181 025,1868,77.36
Krasyliv gerb.png,Красилів,Хмельницька область,20 580,1444 ,28.00
Krasnohorivka gerb.gif,Красногорівка,Донецька область,16 714,1870-ті,11.00
Герб Краснограда (Small).png,Красноград,Харківська область,22 670,1731,39.78
COA Krasnoperekopsk.svg,Красноперекопськ (Яни Капу),Автономна Республіка Крим,31 023,1932,22.42
Coat of Arms of Kremenets.svg,Кременець,Тернопільська область,22 051,1226 ,18.14
Coat of Arms of Kremenchuk.svg,Кременчук,Полтавська область,234 073,1571,92.00
Kreminna gerb.png,Кремінна,Луганська область,24 447,1679,15.72
Coat of Arms of Kryvyy Rih.png,Кривий Ріг,Дніпропетровська область,668 980,1775,410.00
Krolevets herb.png,Кролевець,Сумська область,25 183,1601,34.54
Coat of Arms of Kropyvnytskyi.png,Кропивницький,Кіровоградська область,254 103,1754,103.00
Kupyansk-herb.png,Куп'янськ,Харківська область,32 449,1655,33.33
Coat of arms of Kurakhove.png,Курахове,Донецька область,21 479,1936,24.00
Ladyzhyn gerb.png,Ладижин,Вінницька область,22 219,1260,9.00
Emblem-Lanivtsi-12072017.png,Ланівці,Тернопільська область,8 680,1444,15.00
Lebedyn gerb.png,Лебедин,Сумська область,28 948,1654,27.40
Kr lym s.png,Лиман,Донецька область,28 172,1667,26.21
Coat of Arms Lypovets.png,Липовець,Вінницька область,9 406,1545 ,10.33
Coat of Arms of Lysychansk.svg,Лисичанськ,Луганська область,115 229,1710,95.64
UKR Лозова́ COA.gif,Лозова,Харківська область,64 041,1869,19.60
Lohvytsya gerb.png,Лохвиця,Полтавська область,12 389,1320 ,30.88
Lubny coat of arms.png,Лубни,Полтавська область,52 572,988,45.60
Coat of arms of Luhansk.svg,Луганськ,Луганська область,463 097,1795,286.20
Герб Лутугино.png,Лутугине,Луганська область,18 833,1897,5.00
Herb Lutsk.svg,Луцьк,Волинська область,208 816,1085,42.00
Великий герб Львова.png,Львів,Львівська область,732 818,1256 ,182.00
Герб Любомля.png,Любомль,Волинська область,10 395,1287,12.00
GerbLubotina.jpg,Люботин,Харківська область,24 173,1650,31.10
Герб Макеевки (1690).jpg,Макіївка,Донецька область,389 589,1690,426.00
Mala vyska s.png,Мала Виска,Кіровоградська область,13 132,1752,12.10
Malyn gerb.png,Малин,Житомирська область,28 113,891 ,60.90
Marganec gerb.png,Марганець,Дніпропетровська область,49 592,1937,37.00
Mariupol gerb.png,Маріуполь,Донецька область,492 176,1778,134.70
Marinka gerb.jpg,Мар'їнка,Донецька область,10 722,1844,13.74
Melitopol COA.png,Мелітополь,Запорізька область,160 657,1784,49.66
Mena gerb.png,Мена,Чернігівська область,12 940,1408 ,9.95
Merefa gerb.png,Мерефа,Харківська область,25 018,1938,71.00
Миколаїв —Львів герб.png,Миколаїв,Львівська область,14 801,1570,5.00
Coat of arms of Nikolayev.svg,Миколаїв,Миколаївська область,514 136,1789,260.00
Nikolaevka city coa.png,Миколаївка,Донецька область,16 620,XVIII ст.,6.50
UKR COA of Myrhorod.svg,Миргород,Полтавська область,42 886,XII ст.,19.00
Myrnohrad gerb big.png,Мирноград,Донецька область,54 787,1911,23.00
Mironivka gerb.png,Миронівка,Київська область,13 368,XVII ст.,11.50
Miusynsk gerb.jpg,Міусинськ,Луганська область,6 029,1887,18.10
Mohyliv coat of arms.png,Могилів-Подільський,Вінницька область,32 853,1595,21.63
Coat of Arms of Molodogvardijsk.png,Молодогвардійськ,Луганська область,25 528,1954,28.80
Molochansk gerb.png,Молочанськ,Запорізька область,7 964,1803,8.50
COA of Monastyryska.png,Монастириська,Тернопільська область,6 344,1454,11.00
Monastyryshskiy rayon gerb.png,Монастирище,Черкаська область,9 463,1050,5.51
Coat of Arms of Morshyn.svg,Моршин,Львівська область,6 482,1482,2.22
Герб Моспино.jpg,Моспине,Донецька область,11 736,1800,12.00
Мостиська герб.png,Мостиська,Львівська область,9 150,1244,12.80
Mukachevo gerb.png,Мукачево,Закарпатська область,82 346,896,27.90
Nadvirna COA.png,Надвірна,Івано-Франківська область,20 932,1589,25.53
Nemyriv gerb.png,Немирів,Вінницька область,12 082,1506,11.00
Netishyn Coat.png,Нетішин,Хмельницька область,34 358,1542 ,24.67
Nizhyn-COA.jpg,Ніжин,Чернігівська область,76 625,1078 ,50.50
Nikopol city gerb.png,Нікополь,Дніпропетровська область,136 280,1782,50.00
Coat of Arms of Nova Kakhovka.png,Нова Каховка,Херсонська область,52 137,1952,22.70
Nova odesa gerb.png,Нова Одеса,Миколаївська область,14 070,1776,20.65
Novhorod-Siverskiy herb.png,Новгород-Сіверський,Чернігівська область,15 175,1044,11.81
COA of Novyj Buh.png,Новий Буг,Миколаївська область,16 250,1810,12.00
Novyj kalyniv gerb.png,Новий Калинів,Львівська область,3 582,1951,2.10
Coat of Arms of Novyi Rozdil.svg,Новий Розділ,Львівська область,28 227,1953,23.60
Novazv s.png,Новоазовськ,Донецька область,12 702,1849,8.00
Coat of Arms of Novovolynsk.svg,Нововолинськ,Волинська область,53 838,1951,20.00
Coat of arms of Novohrad-Volynskyi.png,Новоград-Волинський,Житомирська область,56 259,1257,26.67
Novohrodivka gerb.png,Новогродівка,Донецька область,17 473,1939,6.00
Coat of Arms of Novodnistrovsk.svg,Новодністровськ,Чернівецька область,10 342,1973,7.10
Novodruzhesk gerb.jpg,Новодружеськ,Луганська область,9 025,1935,14.00
Novomyrhorod gerb.png,Новомиргород,Кіровоградська область,13 220,1740,88.58
Coat of Arms of Novomoskovsk.svg,Новомосковськ,Дніпропетровська область,72 439,1672,36.00
Coat of arms of Novoselytsia.png,Новоселиця,Чернівецька область,8 400,1456,6.47
Novoukrainka h.png,Новоукраїнка,Кіровоградська область,19 353,1769,20.60
Novoyavorivsk.svg,Новояворівськ,Львівська область,26 483,1965,2.03
Nosivka new gerb.gif,Носівка,Чернігівська область,15 966,1147 ,26.85
Obukhiv gerb.png,Обухів,Київська область,32 776,1362,24.20
Ovruch gerb.png,Овруч,Житомирська область,17 031,977,9.00
Coat of Arms of Odessa.svg,Одеса,Одеська область,1 029 049,1794,162.42
COA of Olevsk.png,Олевськ,10.25
Oleksandrivsk lg gerb new.png,Олександрівськ,Луганська область,7 045,1772,10.40
Coat of Arms of Oleksandriia.gif,Олександрія,Кіровоградська область,93 357,1754 ,55.00
Oleshky herb.png,Олешки,Херсонська область,24 123,1084,60.50
Orikhiv city coa.PNG,Оріхів,Запорізька область,17 955,1783,10.00
Герб м.Остер.png,Остер,Чернігівська область,7 194,1098 ,76.00
Coat of Arms of Ostroh.svg,Острог,Рівненська область,14 801,1100 ,10.90
Okhtyrka-COA.png,Охтирка,Сумська область,50 399,1641,31.86
Ochakiv gerb.png,Очаків,Миколаївська область,16 929,1415,12.49
Coat of arms of Pavlohrad.png,Павлоград,Дніпропетровська область,118 816,1779,59.30
PervomayskUA.svg,Первомайськ,Луганська область,43 082,1765,8.90
Pervomaisk gerb.png,Первомайськ,Миколаївська область,70 170,1676,25.14
1may har gerb.png,Первомайський,Харківська область,32 523,1869,30.80
Pereval.png,Перевальськ,Луганська область,29 665,1902,30.00
Перемишляни герб.png,Перемишляни,Львівська область,7 565,1437,4.65
Perech s.png,Перечин,Закарпатська область,7 083,1427,7.45
Pereshcepyne gerb.png,Перещепине,Дніпропетровська область,10 041,XVII ст.,12.91
Coat of Arms Pereyaslav.PNG,Переяслав-Хмельницький,Київська область,31 634,907 ,32.00
Coat of Arms of Pershotravensk.svg,Першотравенськ,Дніпропетровська область,29 140,1954,3.90
Petr-krasonos gerb.png,Петрово-Красносілля,Луганська область,15 478,1790,23.21
Pyratyn coat.png,Пирятин,Полтавська область,16 664,1154,72.28
Pivdenne hr gerb.png,Південне,Харківська область,8 516,1906,16.93
COA of Pidhaitsi.png,Підгайці,Тернопільська область,3 280,1015,3.14
Pidgorodne gerb.png,Підгородне,Дніпропетровська область,17 763,1600-ті,35.50
Pohrebysche-Vinnytsa-Ukraine-Coat-of-Arms.PNG,Погребище,Вінницька область,10 754,1148 ,8.70
Podilsk coat of arms.png,Подільськ,Одеська область,40 718,1779,25.44
