city,lat,lng,country,iso2,admin,capital,population,population_proper
Chervonoarmiys’k,50.467838,28.271304,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Rozhnyativ,48.935755,24.163792,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Horokhiv,50.501859,24.761485,Ukraine,UA,Volyns’ka Oblast’,minor,,
Tyvriv,49.014042,28.508458,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Kosiv,48.310708,25.095752,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Krolevets’,51.54775,33.384754,Ukraine,UA,Sums’ka Oblast’,minor,,
Pidvolochys’k,49.534717,26.145847,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Yakymivka,46.699719,35.159156,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Pervomays’k,48.044331,30.850729,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Zdolbuniv,50.520599,26.242513,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Rozivka,47.384842,37.067922,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Kozelets’,50.913345,31.121398,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Kozel’shchyna,49.216821,33.848095,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Semenivka,49.590311,33.180486,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Varva,50.495034,32.719684,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Kaharlyk,49.862333,30.82815,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Ichnya,50.862576,32.394253,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Smila,49.22242,31.887138,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Khotyn,48.506933,26.491214,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Bilohirs’k,45.054617,34.601851,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Korostyshiv,50.31723,29.056298,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Bashtanka,47.407188,32.438682,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Sokyryany,48.447466,27.416781,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Holovanivs’k,48.384004,30.461314,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Chyhyryn,49.07018,32.678563,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Borzna,51.254645,32.426901,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Svitlovods’k,49.048938,33.241063,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Teplyk,48.665658,29.745035,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Horodyshche,49.284887,31.445134,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Bilopillya,51.15016,34.312866,Ukraine,UA,Sums’ka Oblast’,minor,,
Krasnopillya,50.774583,35.259646,Ukraine,UA,Sums’ka Oblast’,minor,,
Terebovlya,49.301873,25.709974,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Balakliya,49.462699,36.859508,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Amvrosiyivka,47.793485,38.47768,Ukraine,UA,Donets’ka Oblast’,minor,,
Anan’yiv,47.721061,29.945019,Ukraine,UA,Odes’ka Oblast’,minor,,
Ivanychi,50.638793,24.360026,Ukraine,UA,Volyns’ka Oblast’,minor,,
Synel’nykove,48.320445,35.51792,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Khmil’nyk,49.555224,27.965751,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Nedryhayliv,50.83398,33.876256,Ukraine,UA,Sums’ka Oblast’,minor,,
